Ejecucion,Algoritmo,Coste_Minimo,Coste_Medio,Coste_Maximo,Desviacion_Estandar,Tiempo_ms,Iteraciones
1,GA_sin_2opt,2355.00,2355.00,2355.00,0.00,6811,1000
2,GA_sin_2opt,2427.00,2427.00,2427.00,0.00,5802,1000
3,GA_sin_2opt,2321.00,2321.00,2321.00,0.00,5689,1000
4,GA_sin_2opt,2549.00,2549.00,2549.00,0.00,5146,1000
5,GA_sin_2opt,2129.00,2129.00,2129.00,0.00,4708,1000
6,GA_sin_2opt,2332.00,2332.00,2332.00,0.00,4805,1000
7,GA_sin_2opt,2567.00,2567.00,2567.00,0.00,4888,1000
8,GA_sin_2opt,2452.00,2452.00,2452.00,0.00,4808,1000
9,GA_sin_2opt,2473.00,2473.00,2473.00,0.00,4846,1000
10,GA_sin_2opt,2148.00,2148.00,2148.00,0.00,4753,1000
1,GA_con_2opt,2159.00,2159.00,2159.00,0.00,4661,1000
2,GA_con_2opt,2154.00,2154.00,2154.00,0.00,4651,1000
3,GA_con_2opt,2181.00,2181.00,2181.00,0.00,4653,1000
4,GA_con_2opt,2129.00,2129.00,2129.00,0.00,4878,1000
5,GA_con_2opt,2166.00,2166.00,2166.00,0.00,5246,1000
6,GA_con_2opt,2098.00,2098.00,2098.00,0.00,5067,1000
7,GA_con_2opt,2159.00,2159.00,2159.00,0.00,4975,1000
8,GA_con_2opt,2206.00,2206.00,2206.00,0.00,4719,1000
9,GA_con_2opt,2211.00,2211.00,2211.00,0.00,4844,1000
10,GA_con_2opt,2142.00,2142.00,2142.00,0.00,4896,1000
